event_time,user_pseudo_id,session_id,event_name,country,category,source,medium,campaign_name
2021-01-25 21:40:08.841632 UTC,1001623.3924462129,606459387,session_start,United States,desktop,<Other>,referral,(referral)
2021-01-25 01:43:21.158473 UTC,1022030.8475790239,1271762262,session_start,Turkey,desktop,(direct),(none),(direct)
2021-01-25 11:21:23.662756 UTC,1029693.4815905114,8602525023,session_start,United States,mobile,shop.googlemerchandisestore.com,referral,(referral)
2021-01-25 06:53:58.168887 UTC,1047024.0259953069,4381150964,session_start,Russia,mobile,google,cpc,<Other>
2021-01-25 11:52:20.496079 UTC,1047438.6833138630,2375812747,session_start,United States,mobile,<Other>,referral,(referral)
2021-01-25 21:33:26.924262 UTC,1051906.5070091106,3722534481,session_start,United States,desktop,(direct),(none),(direct)
2021-01-25 20:39:56.931971 UTC,1062519.9395328456,1591697357,session_start,Singapore,desktop,(direct),(none),(direct)
2021-01-25 16:27:55.262969 UTC,1068252.9478044257,262227145,session_start,India,mobile,<Other>,referral,(referral)
2021-01-25 06:08:16.299403 UTC,1070517.4718438326,2710604754,session_start,Netherlands,mobile,google,organic,(organic)
2021-01-25 06:08:20.434408 UTC,1070517.4718438326,2710604754,view_item,Netherlands,mobile,google,organic,(organic)
2021-01-25 19:25:19.072942 UTC,1085487.5352237089,3829510701,session_start,Canada,desktop,<Other>,organic,(organic)
2021-01-25 02:08:25.717511 UTC,1093141.3235321881,3651096907,session_start,United States,mobile,<Other>,referral,(referral)
2021-01-25 05:52:31.138747 UTC,1105621.2077968018,6970679488,view_item,Canada,mobile,<Other>,<Other>,<Other>
2021-01-25 05:45:42.013760 UTC,1105621.2077968018,6970679488,view_item,Canada,mobile,<Other>,<Other>,<Other>
2021-01-25 05:08:16.230782 UTC,1105621.2077968018,6970679488,view_item,Canada,mobile,<Other>,<Other>,<Other>
2021-01-25 04:58:32.567624 UTC,1105621.2077968018,6970679488,session_start,Canada,mobile,<Other>,<Other>,<Other>
2021-01-25 05:17:09.766776 UTC,1105621.2077968018,6970679488,view_item,Canada,mobile,<Other>,<Other>,<Other>
2021-01-25 05:32:38.825987 UTC,1105621.2077968018,6970679488,view_item,Canada,mobile,<Other>,<Other>,<Other>
2021-01-25 05:43:42.172809 UTC,1105621.2077968018,6970679488,view_item,Canada,mobile,<Other>,<Other>,<Other>
2021-01-25 05:06:42.437835 UTC,1105621.2077968018,6970679488,view_item,Canada,mobile,<Other>,<Other>,<Other>
2021-01-25 05:00:03.641072 UTC,1105621.2077968018,6970679488,view_item,Canada,mobile,<Other>,<Other>,<Other>
2021-01-25 21:39:19.198613 UTC,1108149.8973090754,811595010,view_item,India,desktop,(data deleted),(data deleted),(data deleted)
2021-01-25 21:33:42.709738 UTC,1108149.8973090754,811595010,session_start,India,desktop,(data deleted),(data deleted),(data deleted)
2021-01-25 21:39:42.744166 UTC,1108149.8973090754,811595010,view_item,India,desktop,(data deleted),(data deleted),(data deleted)
2021-01-25 09:14:00.678528 UTC,1133005.0562222417,7175113727,session_start,Canada,mobile,(direct),(none),(direct)
2021-01-25 08:36:44.892308 UTC,1137733.5064208361,8305652499,session_start,Israel,mobile,(direct),(none),(direct)
2021-01-25 08:46:10.407765 UTC,1139322.9747723261,1754222116,session_start,Greece,mobile,<Other>,referral,(referral)
2021-01-25 00:51:31.940617 UTC,1139322.9747723261,384974914,session_start,Greece,mobile,google,organic,(organic)
