"pay_month","user_id","game_name","total_revenue","new_paid_users","new_mrr","churned_users","churned_revenue","expansion_mrr","contraction_revenue","back_from_churt_revenue","previous_paid_month","pervious_month","language","has_older_device_model","age"
2022-04-01,"06RPvlsFPCmM9ag+iSM/Ag==",game 3,12.03,"06RPvlsFPCmM9ag+iSM/Ag==",12.03,,,,,,,2022-03-01,ru,false,34
2022-05-01,"06RPvlsFPCmM9ag+iSM/Ag==",game 3,28.32,,,,,16.29,,,2022-04-01,2022-04-01,ru,false,34
2022-06-01,"06RPvlsFPCmM9ag+iSM/Ag==",game 3,29.07,,,,,0.75,,,2022-05-01,2022-05-01,ru,false,34
2022-07-01,"06RPvlsFPCmM9ag+iSM/Ag==",game 3,25.23,,,,,,-3.84,,2022-06-01,2022-06-01,ru,false,34
2022-08-01,"06RPvlsFPCmM9ag+iSM/Ag==",game 3,18.9,,,,,,-6.33,,2022-07-01,2022-07-01,ru,false,34
2022-09-01,"06RPvlsFPCmM9ag+iSM/Ag==",game 3,48.72,,,,,29.82,,,2022-08-01,2022-08-01,ru,false,34
2022-10-01,"06RPvlsFPCmM9ag+iSM/Ag==",game 3,25.74,,,,,,-22.98,,2022-09-01,2022-09-01,ru,false,34
2022-11-01,"06RPvlsFPCmM9ag+iSM/Ag==",game 3,39.78,,,"06RPvlsFPCmM9ag+iSM/Ag==",,14.04,,,2022-10-01,2022-10-01,ru,false,34
2022-05-01,"0A5RkQrm+GBgG7KSFk/xhw==",game 3,13.8,"0A5RkQrm+GBgG7KSFk/xhw==",13.8,,,,,,,2022-04-01,uk,false,31
2022-06-01,"0A5RkQrm+GBgG7KSFk/xhw==",game 3,48.21,,,,,34.41,,,2022-05-01,2022-05-01,uk,false,31
2022-07-01,"0A5RkQrm+GBgG7KSFk/xhw==",game 3,52.77,,,,,4.56,,,2022-06-01,2022-06-01,uk,false,31
2022-08-01,"0A5RkQrm+GBgG7KSFk/xhw==",game 3,40.83,,,,,,-11.94,,2022-07-01,2022-07-01,uk,false,31
2022-09-01,"0A5RkQrm+GBgG7KSFk/xhw==",game 3,35.49,,,,,,-5.34,,2022-08-01,2022-08-01,uk,false,31
2022-10-01,"0A5RkQrm+GBgG7KSFk/xhw==",game 3,35.73,,,,,0.24,,,2022-09-01,2022-09-01,uk,false,31
2022-11-01,"0A5RkQrm+GBgG7KSFk/xhw==",game 3,72.93,,,"0A5RkQrm+GBgG7KSFk/xhw==",,37.20,,,2022-10-01,2022-10-01,uk,false,31
2022-09-01,"0afix9qVNfU3GJY1n0QGkw==",game 3,32.28,"0afix9qVNfU3GJY1n0QGkw==",32.28,,,,,,,2022-08-01,uk,false,25
2022-10-01,"0afix9qVNfU3GJY1n0QGkw==",game 3,13.23,,,"0afix9qVNfU3GJY1n0QGkw==",,,-19.05,,2022-09-01,2022-09-01,uk,false,25
